Name,SUBDIVISION,YEAR,ANNUAL
ROW1,Andaman & Nicobar Islands,1901,3373.2
ROW2,Andaman & Nicobar Islands,1902,3520.7
ROW3,Andaman & Nicobar Islands,1903,2957.4
ROW4,Andaman & Nicobar Islands,1904,3079.6
ROW5,Andaman & Nicobar Islands,1905,2566.7
ROW6,Andaman & Nicobar Islands,1906,2534.4
ROW7,Andaman & Nicobar Islands,1907,3347.9
ROW8,Andaman & Nicobar Islands,1908,3576.4
ROW9,Andaman & Nicobar Islands,1910,2899.4
ROW10,Andaman & Nicobar Islands,1911,2687.2
ROW11,Andaman & Nicobar Islands,1912,2960.5
ROW12,Andaman & Nicobar Islands,1913,2365.8
ROW13,Andaman & Nicobar Islands,1914,2957.8
ROW14,Andaman & Nicobar Islands,1915,2741.3
ROW15,Andaman & Nicobar Islands,1916,2937.5
ROW16,Andaman & Nicobar Islands,1917,2612.4
ROW17,Andaman & Nicobar Islands,1918,3275
ROW18,Andaman & Nicobar Islands,1919,2352.1
ROW19,Andaman & Nicobar Islands,1920,2943.2
ROW20,Andaman & Nicobar Islands,1921,2606.4
ROW21,Andaman & Nicobar Islands,1922,3554.2
ROW22,Andaman & Nicobar Islands,1923,3079.595503
ROW23,Andaman & Nicobar Islands,1924,2349.634858
ROW24,Andaman & Nicobar Islands,1925,2480.5
ROW25,Andaman & Nicobar Islands,1926,3282.2
ROW26,Andaman & Nicobar Islands,1927,2442.9
ROW27,Andaman & Nicobar Islands,1928,2998.3
ROW28,Andaman & Nicobar Islands,1929,2926.6
ROW29,Andaman & Nicobar Islands,1930,3075.1
ROW30,Andaman & Nicobar Islands,1931,2357.7
ROW31,Andaman & Nicobar Islands,1932,1771.225759
ROW32,Andaman & Nicobar Islands,1933,2987.5
ROW33,Andaman & Nicobar Islands,1934,3722.8
ROW34,Andaman & Nicobar Islands,1935,3154
ROW35,Andaman & Nicobar Islands,1936,3081.781712
ROW36,Andaman & Nicobar Islands,1937,3591.1
ROW37,Andaman & Nicobar Islands,1938,3264.4
ROW38,Andaman & Nicobar Islands,1939,2782.5
ROW39,Andaman & Nicobar Islands,1940,3007.5
ROW40,Andaman & Nicobar Islands,1941,2898.2
ROW41,Andaman & Nicobar Islands,1942,1420.649485
ROW42,Andaman & Nicobar Islands,1946,2791.6
ROW43,Andaman & Nicobar Islands,1947,3092.111863
ROW44,Andaman & Nicobar Islands,1949,3489.6
ROW45,Andaman & Nicobar Islands,1950,2422.2
ROW46,Andaman & Nicobar Islands,1951,3275.1
ROW47,Andaman & Nicobar Islands,1952,3079.9
ROW48,Andaman & Nicobar Islands,1953,2722
ROW49,Andaman & Nicobar Islands,1954,3449
ROW50,Andaman & Nicobar Islands,1955,3349.6
ROW51,Andaman & Nicobar Islands,1956,3079.9
ROW52,Andaman & Nicobar Islands,1957,2507.2
ROW53,Andaman & Nicobar Islands,1958,2807.4
ROW54,Andaman & Nicobar Islands,1959,3343.4
ROW55,Andaman & Nicobar Islands,1960,3025.1
ROW56,Andaman & Nicobar Islands,1961,3938.2
ROW57,Andaman & Nicobar Islands,1962,2959.7
ROW58,Andaman & Nicobar Islands,1963,2981.7
ROW59,Andaman & Nicobar Islands,1964,3054.8
ROW60,Andaman & Nicobar Islands,1965,3163.9
ROW61,Andaman & Nicobar Islands,1966,2701.2
ROW62,Andaman & Nicobar Islands,1967,3216.6
ROW63,Andaman & Nicobar Islands,1968,2762.8
ROW64,Andaman & Nicobar Islands,1969,2619.2
ROW65,Andaman & Nicobar Islands,1970,3370.9
ROW66,Andaman & Nicobar Islands,1971,2998.7
ROW67,Andaman & Nicobar Islands,1972,3323.1
ROW68,Andaman & Nicobar Islands,1973,2991
ROW69,Andaman & Nicobar Islands,1974,2962.1
ROW70,Andaman & Nicobar Islands,1975,3085.6
ROW71,Andaman & Nicobar Islands,1976,3276
ROW72,Andaman & Nicobar Islands,1977,2388.2
ROW73,Andaman & Nicobar Islands,1978,2712.4
ROW74,Andaman & Nicobar Islands,1979,1849.3
ROW75,Andaman & Nicobar Islands,1980,3625.3
ROW76,Andaman & Nicobar Islands,1981,3074.7
ROW77,Andaman & Nicobar Islands,1982,2384.5
ROW78,Andaman & Nicobar Islands,1983,2792.5
ROW79,Andaman & Nicobar Islands,1984,2820.3
ROW80,Andaman & Nicobar Islands,1985,2630.8
ROW81,Andaman & Nicobar Islands,1986,2187.9
ROW82,Andaman & Nicobar Islands,1987,2763.9
ROW83,Andaman & Nicobar Islands,1988,3323.1
ROW84,Andaman & Nicobar Islands,1989,2533.7
ROW85,Andaman & Nicobar Islands,1990,2183.2
ROW86,Andaman & Nicobar Islands,1991,2535.6
